,Unnamed: 0,Date,Signal,Open,High,Low,Close,Adj Close,returns,signal_returns
0,0,2015-11-19,13.7685396576,116.440002,116.650002,115.739998,116.059998,108.281601,,
1,1,2015-11-20,13.6088186616,116.480003,117.360001,116.379997,116.809998,108.981323,0.0064621748485640396,-0.011600431125739274
2,2,2015-11-23,12.9905888508,116.709999,117.889999,116.68,117.389999,109.522453,0.004965336956858968,-0.045428616999979576
3,3,2015-11-24,12.667435014,116.879997,118.419998,116.559998,118.25,110.324837,0.007326015907027861,-0.02487599603924795
4,4,2015-11-25,13.0199100108,118.300003,119.32,118.110001,119.169998,111.183159,0.007780109936575075,0.027825285577581127
5,5,2015-11-27,12.8798191188,119.269997,119.900002,118.879997,119.620003,111.602997,0.003776160170783749,-0.010759743491605911
6,6,2015-11-30,13.1847914496,120.019997,120.07,119.050003,119.099998,111.117851,-0.0043471408373062514,0.02367830852180597
7,7,2015-12-01,12.9226314672,119.610001,119.910004,118.900002,119.889999,111.854897,0.006633089951857185,-0.01988351377434594
8,8,2015-12-02,13.1180755764,119.730003,120.040001,118.449997,118.599998,110.651367,-0.010759871638667762,0.015124172634348731
9,9,2015-12-03,12.91653996,118.93,119.449997,116.139999,116.599998,108.785408,-0.016863406692468885,-0.015363199825024099
10,10,2015-12-04,13.1552779968,116.599998,117.93,116.339996,117.779999,109.886322,0.010120077360550317,0.01848312609563596
11,11,2015-12-07,12.4302210924,117.639999,117.669998,115.510002,116.010002,108.234947,-0.015027992995652828,-0.05511528563488888
12,12,2015-12-08,13.0303351776,114.959999,116.010002,114.459999,115.370003,107.637833,-0.005516757080997192,0.04827863323902726
13,13,2015-12-09,12.43960416,115.029999,116.169998,113.599998,114.080002,106.434288,-0.011181424689743702,-0.04533505927119241
14,14,2015-12-10,13.24967112,113.889999,115.080002,113.650002,114.459999,106.788841,0.0033309694366940867,0.06511999494363341
15,15,2015-12-11,13.0675260816,113.269997,113.339996,111.529999,111.910004,104.409737,-0.022278481760252267,-0.013747136570435914
16,16,2015-12-14,13.0549548432,111.870003,112.379997,110.279999,111.110001,103.663368,-0.007148628106563248,-0.0009620212977956566
17,17,2015-12-15,12.231404892,111.730003,112.959999,111.599998,112.709999,105.15612,0.01440012587165751,-0.0630833243846084
18,18,2015-12-16,13.0780739232,113.489998,114.650002,112.830002,114.43,106.760834,0.01526041181137816,0.06922091441464473
19,19,2015-12-17,12.4365794952,114.910004,114.940002,112.970001,113.209999,105.622612,-0.01066154854496204,-0.04905113946955242
20,20,2015-12-18,13.1074951896,112.660004,112.889999,111.440002,111.480003,104.008545,-0.015281300373476747,0.05394696304228552
21,21,2015-12-21,12.4885312068,112.169998,112.629997,111.5,112.32,104.792259,0.007534956740178789,-0.04722214075585629
22,22,2015-12-22,12.9433300224,112.639999,113.519997,111.790001,113.349998,105.753227,0.009170210113960131,0.03641731826336492
23,23,2015-12-23,12.95348508,113.919998,114.959999,113.730003,114.779999,107.087379,0.012615800840155345,0.0007845784340216877
24,24,2015-12-24,12.5665888824,114.440002,115.160004,114.150002,114.5,107.289787,-0.0024394406903592847,-0.029868116202747874
25,25,2015-12-28,13.1699153664,113.980003,114.07,112.959999,113.970001,106.793152,-0.0046288122270742305,0.04801036221094046
26,26,2015-12-29,12.988398402,114.480003,115.290001,114.07,115.199997,107.945709,0.01079227857513132,-0.013782697864794136
27,27,2015-12-30,12.6448271064,115.050003,115.349998,114.0,114.040001,106.858749,-0.010069409984446387,-0.026452167924499115
28,28,2015-12-31,11.96382432,113.559998,113.970001,112.510002,112.620003,105.528168,-0.012451753661419263,-0.05385623549216567
29,29,2016-01-04,12.475991808,110.610001,110.830002,109.080002,110.010002,103.082527,-0.023175287963719926,0.04280967977303085
30,30,2016-01-05,11.09339016,110.410004,110.580002,109.550003,110.25,103.307411,0.002181601632913255,-0.11082098075067925
31,31,2016-01-06,11.1615864192,108.699997,109.599998,108.0,108.57,101.7332,-0.015238095238095273,0.006147467835928122
32,32,2016-01-07,12.0113536932,106.720001,107.5,105.489998,105.669998,99.015808,-0.02671089619600242,0.07613319846166688
33,33,2016-01-08,10.722718818,105.870003,106.489998,103.660004,103.849998,97.31044,-0.017223431763479402,-0.10728473310460718
34,34,2016-01-11,11.3289339636,104.209999,104.779999,102.309998,103.400002,96.888771,-0.004333134411808048,0.05653558168310435
