,Date,Signal,Open,High,Low,Close,Adj Close
53,2016-02-08,11.191439196,97.010002,97.010002,94.940002,96.43,90.357658
54,2016-02-09,10.6436927016,95.129997,97.129997,95.019997,95.779999,89.748604
55,2016-02-10,11.4519588804,96.449997,97.919998,95.68,95.830002,89.795471
56,2016-02-11,11.29269564,94.080002,95.400002,93.639999,94.790001,88.820946
57,2016-02-12,11.1263343444,95.660004,96.790001,95.190002,96.589996,90.507591
585,2018-03-19,18.6608972844,157.169998,157.210007,154.449997,196.279999,150.708221
732,2018-10-10,19.7194771932,160.820007,160.990005,156.360001,156.559998,-152.277847
500,2017-11-13,35.434147008,145.929993,146.820007,145.5,146.610001,140.849274
731,2018-10-09,26.12487282288,161.619995,162.740005,160.979996,161.190002,156.781219
