,Date,Signal,Open,High,Low,Close,Adj Close
0,2015-11-19,13.7685396576,116.440002,116.650002,115.739998,116.059998,108.281601
1,2015-11-20,13.6088186616,116.480003,117.360001,116.379997,116.809998,108.981323
2,2015-11-23,12.9905888508,116.709999,117.889999,116.68,117.389999,109.522453
3,2015-11-24,12.667435014,116.879997,118.419998,116.559998,118.25,110.324837
4,2015-11-25,13.0199100108,118.300003,119.32,118.110001,119.169998,111.183159
5,2015-11-27,12.8798191188,119.269997,119.900002,118.879997,119.620003,111.602997
6,2015-11-30,13.1847914496,120.019997,120.07,119.050003,119.099998,111.117851
7,2015-12-01,12.9226314672,119.610001,119.910004,118.900002,119.889999,111.854897
8,2015-12-02,13.1180755764,119.730003,120.040001,118.449997,118.599998,110.651367
9,2015-12-03,12.91653996,118.93,119.449997,116.139999,116.599998,108.785408
10,2015-12-04,13.1552779968,116.599998,117.93,116.339996,117.779999,109.886322
11,2015-12-07,12.4302210924,117.639999,117.669998,115.510002,116.010002,108.234947
12,2015-12-08,13.0303351776,114.959999,116.010002,114.459999,115.370003,107.637833
13,2015-12-09,12.43960416,115.029999,116.169998,113.599998,114.080002,106.434288
14,2015-12-10,13.24967112,113.889999,115.080002,113.650002,114.459999,106.788841
15,2015-12-11,13.0675260816,113.269997,113.339996,111.529999,111.910004,104.409737
16,2015-12-14,13.0549548432,111.870003,112.379997,110.279999,111.110001,103.663368
17,2015-12-15,12.231404892,111.730003,112.959999,111.599998,112.709999,105.15612
18,2015-12-16,13.0780739232,113.489998,114.650002,112.830002,114.43,106.760834
19,2015-12-17,12.4365794952,114.910004,114.940002,112.970001,113.209999,105.622612
20,2015-12-18,13.1074951896,112.660004,112.889999,111.440002,111.480003,104.008545
21,2015-12-21,12.4885312068,112.169998,112.629997,111.5,112.32,104.792259
22,2015-12-22,12.9433300224,112.639999,113.519997,111.790001,113.349998,105.753227
23,2015-12-23,12.95348508,113.919998,114.959999,113.730003,114.779999,107.087379
24,2015-12-24,12.5665888824,114.440002,115.160004,114.150002,114.5,107.289787
25,2015-12-28,13.1699153664,113.980003,114.07,112.959999,113.970001,106.793152
26,2015-12-29,12.988398402,114.480003,115.290001,114.07,115.199997,107.945709
