Date,Signal,Open,High,Low,Close,Adj Close
11/19/15,13.7685396576,116.440002,116.650002,115.739998,116.059998,108.281601
11/20/15,13.6088186616,116.480003,117.360001,116.379997,116.809998,108.981323
11/23/15,12.9905888508,116.709999,117.889999,116.68,117.389999,109.522453
11/24/15,12.667435014,116.879997,118.419998,116.559998,118.25,110.324837
11/25/15,13.0199100108,118.300003,119.32,118.110001,119.169998,111.183159
11/27/15,12.8798191188,119.269997,119.900002,118.879997,119.620003,111.602997
11/30/15,13.1847914496,120.019997,120.07,119.050003,119.099998,111.117851
12/1/15,12.9226314672,119.610001,119.910004,118.900002,119.889999,111.854897
12/2/15,13.1180755764,119.730003,120.040001,118.449997,118.599998,110.651367
12/3/15,12.91653996,118.93,119.449997,116.139999,116.599998,108.785408
12/4/15,13.1552779968,116.599998,117.93,116.339996,117.779999,109.886322
12/7/15,12.4302210924,117.639999,117.669998,115.510002,116.010002,108.234947
12/8/15,13.0303351776,114.959999,116.010002,114.459999,115.370003,107.637833
12/9/15,12.43960416,115.029999,116.169998,113.599998,114.080002,106.434288
12/10/15,13.24967112,113.889999,115.080002,113.650002,114.459999,106.788841
12/11/15,13.0675260816,113.269997,113.339996,111.529999,111.910004,104.409737
12/14/15,13.0549548432,111.870003,112.379997,110.279999,111.110001,103.663368
12/15/15,12.231404892,111.730003,112.959999,111.599998,112.709999,105.15612
12/16/15,13.0780739232,113.489998,114.650002,112.830002,114.43,106.760834
12/17/15,12.4365794952,114.910004,114.940002,112.970001,113.209999,105.622612
12/18/15,13.1074951896,112.660004,112.889999,111.440002,111.480003,104.008545
12/21/15,12.4885312068,112.169998,112.629997,111.5,112.32,104.792259
12/22/15,12.9433300224,112.639999,113.519997,111.790001,113.349998,105.753227
12/23/15,12.95348508,113.919998,114.959999,113.730003,114.779999,107.087379
12/24/15,12.5665888824,114.440002,115.160004,114.150002,114.5,107.289787
12/28/15,13.1699153664,113.980003,114.07,112.959999,113.970001,106.793152
12/29/15,12.988398402,114.480003,115.290001,114.07,115.199997,107.945709
12/30/15,12.6448271064,115.050003,115.349998,114,114.040001,106.858749
12/31/15,11.96382432,113.559998,113.970001,112.510002,112.620003,105.528168
1/4/16,12.475991808,110.610001,110.830002,109.080002,110.010002,103.082527
1/5/16,11.09339016,110.410004,110.580002,109.550003,110.25,103.307411
1/6/16,11.1615864192,108.699997,109.599998,108,108.57,101.7332
1/7/16,12.0113536932,106.720001,107.5,105.489998,105.669998,99.015808
1/8/16,10.722718818,105.870003,106.489998,103.660004,103.849998,97.31044
1/11/16,11.3289339636,104.209999,104.779999,102.309998,103.400002,96.888771
1/12/16,10.8075252096,104.220001,104.989998,101.940002,103.709999,97.179237
1/13/16,11.661340698,103.910004,104.419998,99.650002,100.379997,94.058937
1/14/16,11.709747252,100.860001,102.709999,99.190002,101.769997,95.361397
1/15/16,11.682590346,99.080002,100.290001,97.510002,100.120003,93.815323
1/19/16,10.942455744,101.07,101.199997,97.739998,98.769997,92.550323
1/20/16,11.4797555316,97.43,100.330002,95.059998,99.18,92.934502
1/21/16,10.9133121024,99.330002,100.910004,98.379997,98.949997,92.718971
1/22/16,11.4359683536,100.650002,101.610001,100.129997,101.370003,94.986595
1/25/16,11.4336748224,100.739998,101.080002,98.849998,99.120003,92.878281
1/26/16,11.57717652,99.519997,101.400002,99.18,101.099998,94.733612
1/27/16,11.6395709568,100.589996,101.589996,99.059998,99.709999,93.431114
1/28/16,10.71203736,100.550003,100.949997,99.220001,99.690002,93.412376
1/29/16,10.725924726,100.040001,102.980003,99.959999,102.959999,96.476471
2/1/16,11.901012984,102.139999,103.089996,101.25,102.489998,96.036064
2/2/16,10.5829962624,101.330002,101.470001,99.769997,100.279999,93.96524
2/3/16,10.6260605808,101.059998,101.07,98.139999,100.410004,94.087059
2/4/16,10.6621341552,100,101.970001,99.970001,100.800003,94.452484
2/5/16,11.2064747808,100.349998,100.440002,97.959999,98.040001,91.866287
2/8/16,11.191439196,97.010002,97.010002,94.940002,96.43,90.357658
2/9/16,10.6436927016,95.129997,97.129997,95.019997,95.779999,89.748604
2/10/16,11.4519588804,96.449997,97.919998,95.68,95.830002,89.795471
2/11/16,11.29269564,94.080002,95.400002,93.639999,94.790001,88.820946
